rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-27 14:47:10,1,1,26.85,106,37.38093417,127.103148
2020-11-27 14:47:11,1,1,26.15,107,37.38065714,127.1031494
2020-11-27 14:47:12,1,1,27.58,108,37.38038969,127.103145
2020-11-27 14:47:13,1,1,28.34,108,37.38012339,127.1031433
2020-11-27 14:47:14,1,1,27.21,108,37.37985987,127.1031415
2020-11-27 14:47:15,1,1,29.15,109,37.37959781,127.1031401
2020-11-27 14:47:16,1,1,27.96,109,37.37932785,127.1031426
2020-11-27 14:47:17,1,1,27.21,109,37.37905738,127.10314809999998
2020-11-27 14:47:18,1,1,26.85,109,37.37879629,127.1031561
2020-11-27 14:47:19,1,1,26.49,110,37.37853346,127.1031551
2020-11-27 14:47:20,1,1,26.15,110,37.37826592,127.1031566
2020-11-27 14:47:21,1,1,25.81,110,37.37799507,127.1031605
2020-11-27 14:47:22,1,1,25.49,110,37.37772633,127.1031624
2020-11-27 14:47:23,1,1,24.54,109,37.37746364,127.1031554
2020-11-27 14:47:24,1,1,23.66,109,37.37720525,127.1031517
2020-11-27 14:47:25,1,1,23.95,108,37.37694039,127.1031476
2020-11-27 14:47:26,1,1,22.06,108,37.37667231,127.1031429
2020-11-27 14:47:27,1,1,23.11,108,37.37640767,127.1031389
2020-11-27 14:47:28,1,1,22.32,108,37.37614368,127.1031365
2020-11-27 14:47:29,1,1,22.06,107,37.37587466,127.1031365
2020-11-27 14:47:30,1,1,22.32,107,37.3756093,127.1031373
2020-11-27 14:47:31,1,1,21.57,106,37.37535009,127.1031366
2020-11-27 14:47:32,1,1,22.84,105,37.3750889,127.1031394
2020-11-27 14:47:33,1,1,21.82,104,37.37483893,127.1031493
2020-11-27 14:47:34,1,1,22.06,103,37.37459059,127.10315020000002
2020-11-27 14:47:35,1,1,22.06,103,37.37433817,127.1031549
2020-11-27 14:47:36,1,1,20.87,102,37.37409006,127.10315990000002
2020-11-27 14:47:37,1,1,20.42,101,37.37384385,127.1031595
2020-11-27 14:47:38,1,1,20.65,100,37.37360563,127.1031597
2020-11-27 14:47:39,1,1,20.87,99,37.37336894,127.10316
2020-11-27 14:47:40,1,1,21.33,98,37.37313557,127.1031575
2020-11-27 14:47:41,1,1,21.82,98,37.37290075,127.1031591
2020-11-27 14:47:42,1,1,22.32,98,37.37266602,127.1031592
2020-11-27 14:47:43,1,1,24.24,98,37.37243345,127.1031595
2020-11-27 14:47:44,1,1,24.54,98,37.37220321,127.1031607
2020-11-27 14:47:45,1,1,23.66,98,37.37197164,127.1031616
2020-11-27 14:47:46,1,1,25.16,99,37.37173412,127.1031622
2020-11-27 14:47:47,1,1,25.81,100,37.37149385,127.1031594
2020-11-27 14:47:48,1,1,27.21,101,37.37125052,127.1031582
2020-11-27 14:47:49,1,1,26.49,102,37.37100134,127.103163
2020-11-27 14:47:50,1,1,27.58,102,37.3707542,127.1031637
2020-11-27 14:47:51,1,1,26.49,103,37.37050059,127.1031629
2020-11-27 14:47:52,1,1,26.85,103,37.37024219,127.1031615
2020-11-27 14:47:53,1,1,25.81,102,37.36999122,127.1031467
2020-11-27 14:47:54,1,1,25.81,102,37.36973477,127.1031405
2020-11-27 14:47:55,1,1,22.06,102,37.36948113,127.1031442
2020-11-27 14:47:56,1,1,22.06,101,37.36923182,127.103146
2020-11-27 14:47:57,1,1,22.06,100,37.36898366,127.1031496
2020-11-27 14:47:58,1,1,21.57,1,37.36873731,127.1031511
2020-11-27 14:47:59,1,1,22.32,17,37.36848762,127.1031486
2020-11-27 14:48:00,1,1,23.11,17,37.36823943,127.1031475
2020-11-27 14:48:01,1,1,22.84,17,37.36799898,127.1031461
2020-11-27 14:48:02,1,1,23.38,98,37.36775853,127.1031451
2020-11-27 14:48:03,1,1,23.66,98,37.36751471,127.1031423
2020-11-27 14:48:04,1,1,24.24,99,37.36727071,127.10314309999998
2020-11-27 14:48:05,1,1,23.11,100,37.36702324,127.1031437
2020-11-27 14:48:06,1,1,22.06,99,37.36677687,127.1031467
2020-11-27 14:48:07,1,1,21.57,99,37.36653367,127.103149
2020-11-27 14:48:08,1,1,17.89,97,37.36629484,127.1031497
2020-11-27 14:48:09,1,1,18.07,96,37.36605903,127.1031507
2020-11-27 14:48:10,1,1,19.38,94,37.36583463,127.1031521
2020-11-27 14:48:11,1,1,18.8,92,37.36561577,127.10315359999998
2020-11-27 14:48:12,1,1,20.21,90,37.36539842,127.1031525
2020-11-27 14:48:13,1,1,20.65,90,37.36518107,127.1031514
2020-11-27 14:48:14,1,1,22.57,91,37.36495932,127.103148
2020-11-27 14:48:15,1,1,23.66,91,37.36472822,127.1031419
2020-11-27 14:48:16,1,1,24.85,92,37.36449192,127.1031322
2020-11-27 14:48:17,1,1,25.81,96,37.3642557,127.103128
2020-11-27 14:48:18,1,1,26.49,97,37.36401429,127.103126
2020-11-27 14:48:19,0,1,26.15,99,37.36377534,127.1031241
2020-11-27 14:48:20,0,1,26.49,100,37.36353006,127.1031231
2020-11-27 14:48:21,0,1,25.81,101,37.36328232,127.1031232
2020-11-27 14:48:22,0,1,27.58,102,37.36303505,127.1031225
2020-11-27 14:48:23,0,1,27.21,103,37.36277752,127.1031225
2020-11-27 14:48:24,0,1,26.49,103,37.36252293,127.1031236
2020-11-27 14:48:25,1,1,27.96,104,37.36227165,127.1031324
2020-11-27 14:48:26,1,1,26.15,104,37.3620136,127.1031371
2020-11-27 14:48:27,1,1,26.15,105,37.36175772,127.10313899999998
2020-11-27 14:48:28,1,1,24.24,105,37.36151289,127.103144
2020-11-27 14:48:29,1,1,24.24,105,37.3612638,127.103147
2020-11-27 14:48:30,1,1,23.95,105,37.36101511,127.1031492
2020-11-27 14:48:31,1,1,23.38,104,37.36076602,127.10315049999998
2020-11-27 14:48:32,1,1,24.85,104,37.36052095,127.10315420000002
2020-11-27 14:48:33,1,1,24.24,104,37.36026773,127.1031648
2020-11-27 14:48:34,1,1,23.95,104,37.36001293,127.1031712
2020-11-27 14:48:35,1,1,23.95,104,37.35975735,127.10317759999998
2020-11-27 14:48:36,1,1,23.38,103,37.35950527,127.1031854
2020-11-27 14:48:37,1,1,24.85,103,37.35925561,127.10319309999998
2020-11-27 14:48:38,1,1,24.24,103,37.35900719,127.1031978
2020-11-27 14:48:39,1,1,24.54,103,37.35875809,127.1032018
2020-11-27 14:48:40,1,1,23.66,103,37.35850527,127.1032035
2020-11-27 14:48:41,1,1,23.95,103,37.35825203,127.1032042
2020-11-27 14:48:42,1,1,24.24,103,37.35799655,127.1032022
2020-11-27 14:48:43,1,1,24.54,103,37.35773399,127.103202
2020-11-27 14:48:44,1,1,23.95,103,37.3574777,127.1031989
2020-11-27 14:48:45,1,1,23.66,103,37.35722169,127.1031977
2020-11-27 14:48:46,1,1,23.38,103,37.35696525,127.1031984
2020-11-27 14:48:47,1,1,23.38,103,37.35670992,127.1032001
2020-11-27 14:48:48,1,1,23.66,103,37.35645301,127.1032026
2020-11-27 14:48:49,1,1,22.84,103,37.35619655,127.1032053
2020-11-27 14:48:50,1,1,23.11,103,37.35594184,127.1032082
2020-11-27 14:48:51,1,1,22.84,103,37.35568599,127.1032128
2020-11-27 14:48:52,1,1,22.84,103,37.35543241,127.1032164
2020-11-27 14:48:53,1,1,23.11,103,37.35518088,127.10322240000002
2020-11-27 14:48:54,1,1,23.66,103,37.35493306,127.1032269
2020-11-27 14:48:55,1,1,24.24,102,37.35468827,127.1032364
2020-11-27 14:48:56,1,1,25.16,103,37.35444001,127.1032453
2020-11-27 14:48:57,1,1,24.85,103,37.35418841,127.1032462
2020-11-27 14:48:58,1,1,24.24,103,37.35393013,127.1032468
2020-11-27 14:48:59,1,1,22.57,102,37.35367652,127.1032484
2020-11-27 14:49:00,1,1,22.06,101,37.35342242,127.1032506
2020-11-27 14:49:01,1,1,21.57,100,37.353186537187504,127.10325908749999
2020-11-27 14:49:02,1,1,20.42,100,37.352950654375,127.10326757499999
2020-11-27 14:49:03,1,1,22.57,100,37.3527147715625,127.1032760625
2020-11-27 14:49:04,1,1,23.11,101,37.35247888875,127.10328455
2020-11-27 14:49:05,1,1,22.57,101,37.3522430059375,127.1032930375
2020-11-27 14:49:06,1,1,24.24,101,37.352007123125,127.10330152499999
2020-11-27 14:49:07,1,1,27.21,102,37.3517712403125,127.1033100125
2020-11-27 14:49:08,1,1,25.16,103,37.3515353575,127.1033185
2020-11-27 14:49:09,1,1,27.58,104,37.3512994746875,127.1033269875
2020-11-27 14:49:10,1,1,26.85,105,37.351063591875004,127.103335475
2020-11-27 14:49:11,1,1,27.96,105,37.3508277090625,127.10334396249999
2020-11-27 14:49:12,1,1,25.16,106,37.35059182625,127.10335245
2020-11-27 14:49:13,1,1,24.85,106,37.3503559434375,127.1033609375
2020-11-27 14:49:14,1,1,23.66,105,37.350120060625,127.103369425
2020-11-27 14:49:15,1,1,22.32,104,37.3498841778125,127.1033779125
2020-11-27 14:49:16,1,1,22.32,103,37.349648295,127.1033864
2020-11-27 14:49:17,1,1,20.65,100,37.349412412187505,127.1033948875
2020-11-27 14:49:18,1,1,20.87,98,37.349176529375,127.103403375
2020-11-27 14:49:19,1,1,19.79,96,37.348940646562504,127.1034118625
2020-11-27 14:49:20,1,1,20.42,95,37.34870476375,127.10342035
2020-11-27 14:49:21,1,1,20.87,95,37.3484688809375,127.1034288375
2020-11-27 14:49:22,1,1,20.65,94,37.348232998125,127.103437325
2020-11-27 14:49:23,1,1,20.65,94,37.3479971153125,127.1034458125
2020-11-27 14:49:24,1,1,20.0,93,37.347761232500005,127.1034543
2020-11-27 14:49:25,1,1,19.38,91,37.3475253496875,127.10346278749999
2020-11-27 14:49:26,1,1,18.8,90,37.347289466875004,127.103471275
2020-11-27 14:49:27,1,1,19.79,88,37.3470535840625,127.1034797625
2020-11-27 14:49:28,1,1,19.79,88,37.34681770125,127.10348825
2020-11-27 14:49:29,1,1,19.18,88,37.3465818184375,127.1034967375
2020-11-27 14:49:30,1,1,19.18,88,37.346345935625,127.103505225
2020-11-27 14:49:31,1,1,18.43,87,37.3461100528125,127.1035137125
2020-11-27 14:49:32,1,1,18.07,86,37.34587417,127.1035222
2020-11-27 14:49:33,1,1,18.07,85,37.34567064,127.10353275
2020-11-27 14:49:34,1,1,18.43,84,37.34546711,127.1035433
2020-11-27 14:49:35,1,1,18.07,83,37.34528461,127.103533
2020-11-27 14:49:36,1,1,18.8,83,37.34511724,127.1035142
2020-11-27 14:49:37,1,1,18.99,82,37.34491774,127.1035066
2020-11-27 14:49:38,1,1,20.21,82,37.34471688,127.10349879999998
2020-11-27 14:49:39,1,1,20.21,83,37.34454189,127.1034957
