rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-30 21:32:14,1,1,13.74,88,37.38235199,127.10307240000002
2020-11-30 21:32:15,1,1,14.55,89,37.38213072,127.1030767
2020-11-30 21:32:16,1,1,23.66,90,37.38191068,127.1030808
2020-11-30 21:32:17,1,1,14.43,90,37.38182031,127.1031256
2020-11-30 21:32:18,1,1,9.53,91,37.381598100000005,127.1031294
2020-11-30 21:32:19,1,1,13.63,91,37.38137254,127.10312959999999
2020-11-30 21:32:20,1,1,11.29,92,37.38114809,127.1031294
2020-11-30 21:32:21,1,1,27.58,92,37.38092413,127.1031294
2020-11-30 21:32:22,1,1,26.85,92,37.38069902,127.1031338
2020-11-30 21:32:23,1,1,25.49,91,37.38047574,127.1031345
2020-11-30 21:32:24,1,1,26.15,91,37.38025225,127.10313570000001
2020-11-30 21:32:25,1,1,26.85,90,37.38002805,127.10313799999999
2020-11-30 21:32:26,1,1,28.74,91,37.37980629,127.1031386
2020-11-30 21:32:27,1,1,27.58,91,37.37947466,127.10308640000001
2020-11-30 21:32:28,1,1,27.21,92,37.37936196,127.1031342
2020-11-30 21:32:29,1,1,27.96,94,37.37901563,127.10308020000001
2020-11-30 21:32:30,1,1,,95,37.378783,127.10307890000001
2020-11-30 21:32:31,1,1,,96,37.37854861,127.10307579999998
2020-11-30 21:32:32,1,1,28.34,97,37.37831301,127.1030736
2020-11-30 21:32:33,1,1,27.58,97,37.37820603,127.10311740000002
2020-11-30 21:32:34,1,1,29.15,97,37.37783787,127.10307320000001
2020-11-30 21:32:35,1,1,27.58,97,37.37760051,127.1030733
2020-11-30 21:32:36,1,1,27.58,98,37.37748525,127.1031226
2020-11-30 21:32:37,1,1,27.21,98,37.37724657,127.10311979999999
2020-11-30 21:32:38,1,1,27.21,99,37.37687374,127.1030768
2020-11-30 21:32:39,1,1,24.24,99,37.37676682,127.1031136
2020-11-30 21:32:40,1,1,24.24,100,37.37652454,127.10311100000001
2020-11-30 21:32:41,1,1,24.85,100,37.37613712,127.1030794
2020-11-30 21:32:42,1,1,26.85,100,37.3760359,127.10310829999999
2020-11-30 21:32:43,1,1,28.74,101,37.37578952,127.103104
