dt,provider,device_name,latitude,longtitude,altitude,speed,accuracy,time_utc
2020-11-27 14:45:58,gps,device0,37.39870269,127.1004439,93.76422113,99.185036,8,1610000000000.0
2020-11-27 14:45:59,gps,device0,37.39845143,127.10049309999998,93.33882829999999,99.26700600000001,8,1610000000000.0
2020-11-27 14:46:00,gps,device0,37.39820607,127.10053329999998,93.02852278,96.37049,8,1610000000000.0
2020-11-27 14:46:01,gps,device0,37.3979593,127.1005739,92.79797356,95.97055999999999,8,1610000000000.0
2020-11-27 14:46:02,gps,device0,37.39771209,127.10061509999998,92.66363151,95.85332,12,1610000000000.0
2020-11-27 14:46:03,gps,device0,37.39746525,127.1006582,92.5333911,96.78296999999999,12,1610000000000.0
2020-11-27 14:46:04,gps,device0,37.39721433,127.1007027,92.39675667,97.35749,12,1610000000000.0
2020-11-27 14:46:05,gps,device0,37.39696983,127.10074440000001,92.26870955,97.33414499999999,12,1610000000000.0
2020-11-27 14:46:06,gps,device0,37.39673045,127.1007851,92.13223077,97.12315,12,1610000000000.0
2020-11-27 14:46:07,gps,device0,37.39648938,127.1008264,92.01548004,96.943954,12,1610000000000.0
2020-11-27 14:46:08,gps,device0,37.39624969,127.1008678,91.89352353,98.09594,12,1610000000000.0
2020-11-27 14:46:09,gps,device0,37.39600594,127.1009179,91.75736033,97.72975,12,1610000000000.0
2020-11-27 14:46:10,gps,device0,37.39575597,127.1009619,91.62114507,97.02105999999999,8,1610000000000.0
2020-11-27 14:46:11,gps,device0,37.39551081,127.1010084,91.71015583,97.197624,24,1610000000000.0
2020-11-27 14:46:12,gps,device0,37.39527444,127.1010557,91.91032290000001,96.51521,12,1610000000000.0
2020-11-27 14:46:13,gps,device0,37.39502771,127.10110959999999,92.18997267,96.83749,24,1610000000000.0
2020-11-27 14:46:14,gps,device0,37.39477973,127.1011689,92.45169624,97.35243,24,1610000000000.0
2020-11-27 14:46:15,gps,device0,37.39452856,127.10122379999999,92.58093443,97.93654000000001,8,1610000000000.0
2020-11-27 14:46:16,gps,device0,37.39427948,127.1012768,92.68464959999999,98.4887,8,1610000000000.0
2020-11-27 14:46:17,gps,device0,37.39403199,127.1013331,92.84180036,97.32299,8,1610000000000.0
2020-11-27 14:46:18,gps,device0,37.3937818,127.10138719999999,93.08813876,95.60553,12,1610000000000.0
2020-11-27 14:46:19,gps,device0,37.39353482,127.1014334,93.34827284,93.77614,12,1610000000000.0
2020-11-27 14:46:20,gps,device0,37.39329771,127.10147009999999,93.44433067,94.02232,12,1610000000000.0
2020-11-27 14:46:21,gps,device0,37.39306044,127.1015048,93.30713753,93.297585,12,1610000000000.0
2020-11-27 14:46:22,gps,device0,37.39283011,127.1015403,92.98483158,92.91624499999999,12,1610000000000.0
2020-11-27 14:46:23,gps,device0,37.39259268,127.10159009999998,92.65821222,93.483864,12,1610000000000.0
2020-11-27 14:46:24,gps,device0,37.39235522,127.10163109999999,92.35797353,94.40369,12,1610000000000.0
2020-11-27 14:46:25,gps,device0,37.39212635,127.10166219999999,92.03040978,94.25028,16,1610000000000.0
2020-11-27 14:46:26,gps,device0,37.3918972,127.10170349999999,91.72611856,94.84931999999999,12,1610000000000.0
2020-11-27 14:46:27,gps,device0,37.39166405,127.10173789999999,91.41031141,95.93907,12,1610000000000.0
2020-11-27 14:46:28,gps,device0,37.39142435,127.10176200000001,90.95239215,97.25282,12,1610000000000.0
2020-11-27 14:46:29,gps,device0,37.39118209,127.10178619999999,90.52148656,98.521194,12,1610000000000.0
2020-11-27 14:46:30,gps,device0,37.39092543,127.10183590000001,90.05552501,100.233864,12,1610000000000.0
2020-11-27 14:46:31,gps,device0,37.39066974,127.10189150000001,89.68107966,102.069496,12,1610000000000.0
2020-11-27 14:46:32,gps,device0,37.39041684,127.10195690000002,89.47568475,102.83893,12,1610000000000.0
2020-11-27 14:46:33,gps,device0,37.39016375,127.1020233,89.39752798,103.12532,12,1610000000000.0
2020-11-27 14:46:34,gps,device0,37.38991268,127.10207620000001,89.38631114,102.54982,16,1610000000000.0
2020-11-27 14:46:35,gps,device0,37.389667100000004,127.1021137,89.44234479,102.65907,16,1610000000000.0
2020-11-27 14:46:36,gps,device0,37.38941999,127.1021553,89.46551888,101.86229,12,1610000000000.0
2020-11-27 14:46:37,gps,device0,37.38916905,127.10219369999999,89.50244549,101.22816999999999,12,1610000000000.0
2020-11-27 14:46:38,gps,device0,37.38892342,127.1022253,89.62002388,101.38239,16,1610000000000.0
2020-11-27 14:46:39,gps,device0,37.38867276,127.1022624,89.78143575,101.65777,16,1610000000000.0
2020-11-27 14:46:40,gps,device0,37.38844383,127.10228959999999,89.9559093,103.23572,8,1610000000000.0
2020-11-27 14:46:41,gps,device0,37.38820208,127.1023402,90.14640239,102.93523,8,1610000000000.0
2020-11-27 14:46:42,gps,device0,37.3879528,127.1023904,90.31469003,103.13423,8,1610000000000.0
2020-11-27 14:46:43,gps,device0,37.38770519,127.1024398,90.41231988,100.61571500000001,8,1610000000000.0
